Type,capacity,formation,imp,k,dcrfu25,dcr25,calendar60-30d,calendar60-60d,calendar60-120d,volume-80d,cycle45-300,cycle45-600,cycle45-900
Mean,1992.333333,1293.348649,7.0392096635,0.088981695,0.730616678,0.021545982,0.9235854175,0.8701053995,0.4003735465,0.357856291,0.972163088,0.935502577,0.872143371
Range,1992.333333~1992.333333,1293.348649~1293.348649,6.96412766~7.114291667,0.085736723~0.092226667,0.720736444~0.740496912,0.020916736~0.022175228,0.91290214~0.934268695,0.847617502~0.892593297,0.0~0.800747093,0.334973166~0.380739416,0.966291051~0.978035125,0.920111025~0.950894129,0.836039267~0.908247475
61422527,1992.333333,1293.348649,7.114291667,0.092226667,0.740496912,0.022175228,0.91290214,0.847617502,0.0,0.380739416,0.966291051,0.920111025,0.836039267
61422545,1992.333333,1293.348649,6.96412766,0.085736723,0.720736444,0.020916736,0.934268695,0.892593297,0.800747093,0.334973166,0.978035125,0.950894129,0.908247475
